Palavra_andre_fernandes_atualizado,Frequência_andre_fernandes_atualizado,Palavra_capitao_wagner,Frequência_capitao_wagner,Palavra_chico_malta,Frequência_chico_malta,Palavra_eduardo_girao,Frequência_eduardo_girao,Palavra_evandro_leitao,Frequência_evandro_leitao,Palavra_george_lima,Frequência_george_lima,Palavra_jose_sarto,Frequência_jose_sarto,Palavra_tecio_nunes_atualizado,Frequência_tecio_nunes_atualizado,Palavra_ze_batista,Frequência_ze_batista,Palavra_arquivo_final,Frequência_arquivo_final
saúde,22,saúde,22,saúde,22,saúde,22,saúde,22,saúde,22,saúde,22,saúde,22,saúde,22,saúde,22
trabalho,14,trabalho,14,trabalho,14,trabalho,14,trabalho,14,trabalho,14,trabalho,14,trabalho,14,trabalho,14,trabalho,14
educação,12,educação,12,educação,12,educação,12,educação,12,educação,12,educação,12,educação,12,educação,12,educação,12
trabalhadores,11,trabalhadores,11,trabalhadores,11,trabalhadores,11,trabalhadores,11,trabalhadores,11,trabalhadores,11,trabalhadores,11,trabalhadores,11,trabalhadores,11
transporte,10,transporte,10,transporte,10,transporte,10,transporte,10,transporte,10,transporte,10,transporte,10,transporte,10,transporte,10
servidores,9,servidores,9,servidores,9,servidores,9,servidores,9,servidores,9,servidores,9,servidores,9,servidores,9,servidores,9
obras,6,obras,6,obras,6,obras,6,obras,6,obras,6,obras,6,obras,6,obras,6,obras,6
salários,6,salários,6,salários,6,salários,6,salários,6,salários,6,salários,6,salários,6,salários,6,salários,6
pstu,5,pstu,5,pstu,5,pstu,5,pstu,5,pstu,5,pstu,5,pstu,5,pstu,5,pstu,5
investimentos,5,investimentos,5,investimentos,5,investimentos,5,investimentos,5,investimentos,5,investimentos,5,investimentos,5,investimentos,5,investimentos,5
necessários,5,necessários,5,necessários,5,necessários,5,necessários,5,necessários,5,necessários,5,necessários,5,necessários,5,necessários,5
populares,5,populares,5,populares,5,populares,5,populares,5,populares,5,populares,5,populares,5,populares,5,populares,5
integral,5,integral,5,integral,5,integral,5,integral,5,integral,5,integral,5,integral,5,integral,5,integral,5
popular,5,popular,5,popular,5,popular,5,popular,5,popular,5,popular,5,popular,5,popular,5,popular,5
moradia,4,moradia,4,moradia,4,moradia,4,moradia,4,moradia,4,moradia,4,moradia,4,moradia,4,moradia,4
escolas,4,escolas,4,escolas,4,escolas,4,escolas,4,escolas,4,escolas,4,escolas,4,escolas,4,escolas,4
construção,4,construção,4,construção,4,construção,4,construção,4,construção,4,construção,4,construção,4,construção,4,construção,4
emprego,4,emprego,4,emprego,4,emprego,4,emprego,4,emprego,4,emprego,4,emprego,4,emprego,4,emprego,4
renda,4,renda,4,renda,4,renda,4,renda,4,renda,4,renda,4,renda,4,renda,4,renda,4
carreira,4,carreira,4,carreira,4,carreira,4,carreira,4,carreira,4,carreira,4,carreira,4,carreira,4,carreira,4
unidades,4,unidades,4,unidades,4,unidades,4,unidades,4,unidades,4,unidades,4,unidades,4,unidades,4,unidades,4
crianças,4,crianças,4,crianças,4,crianças,4,crianças,4,crianças,4,crianças,4,crianças,4,crianças,4,crianças,4
concurso,4,concurso,4,concurso,4,concurso,4,concurso,4,concurso,4,concurso,4,concurso,4,concurso,4,concurso,4
conselho,4,conselho,4,conselho,4,conselho,4,conselho,4,conselho,4,conselho,4,conselho,4,conselho,4,conselho,4
vagas,4,vagas,4,vagas,4,vagas,4,vagas,4,vagas,4,vagas,4,vagas,4,vagas,4,vagas,4
mulheres,4,mulheres,4,mulheres,4,mulheres,4,mulheres,4,mulheres,4,mulheres,4,mulheres,4,mulheres,4,mulheres,4
prefeitura,3,prefeitura,3,prefeitura,3,prefeitura,3,prefeitura,3,prefeitura,3,prefeitura,3,prefeitura,3,prefeitura,3,prefeitura,3
fortaleza,3,fortaleza,3,fortaleza,3,fortaleza,3,fortaleza,3,fortaleza,3,fortaleza,3,fortaleza,3,fortaleza,3,fortaleza,3
socialista,3,socialista,3,socialista,3,socialista,3,socialista,3,socialista,3,socialista,3,socialista,3,socialista,3,socialista,3
opressão,3,opressão,3,opressão,3,opressão,3,opressão,3,opressão,3,opressão,3,opressão,3,opressão,3,opressão,3
saneamento,3,saneamento,3,saneamento,3,saneamento,3,saneamento,3,saneamento,3,saneamento,3,saneamento,3,saneamento,3,saneamento,3
básico,3,básico,3,básico,3,básico,3,básico,3,básico,3,básico,3,básico,3,básico,3,básico,3
governos,3,governos,3,governos,3,governos,3,governos,3,governos,3,governos,3,governos,3,governos,3,governos,3
lógica,3,lógica,3,lógica,3,lógica,3,lógica,3,lógica,3,lógica,3,lógica,3,lógica,3,lógica,3
postos,3,postos,3,postos,3,postos,3,postos,3,postos,3,postos,3,postos,3,postos,3,postos,3
privatização,3,privatização,3,privatização,3,privatização,3,privatização,3,privatização,3,privatização,3,privatização,3,privatização,3,privatização,3
vida,3,vida,3,vida,3,vida,3,vida,3,vida,3,vida,3,vida,3,vida,3,vida,3
defender,3,defender,3,defender,3,defender,3,defender,3,defender,3,defender,3,defender,3,defender,3,defender,3
direitos,3,direitos,3,direitos,3,direitos,3,direitos,3,direitos,3,direitos,3,direitos,3,direitos,3,direitos,3
salarial,3,salarial,3,salarial,3,salarial,3,salarial,3,salarial,3,salarial,3,salarial,3,salarial,3,salarial,3
empresas,3,empresas,3,empresas,3,empresas,3,empresas,3,empresas,3,empresas,3,empresas,3,empresas,3,empresas,3
realizar,3,realizar,3,realizar,3,realizar,3,realizar,3,realizar,3,realizar,3,realizar,3,realizar,3,realizar,3
gratuita,3,gratuita,3,gratuita,3,gratuita,3,gratuita,3,gratuita,3,gratuita,3,gratuita,3,gratuita,3,gratuita,3
esporte,3,esporte,3,esporte,3,esporte,3,esporte,3,esporte,3,esporte,3,esporte,3,esporte,3,esporte,3
lazer,3,lazer,3,lazer,3,lazer,3,lazer,3,lazer,3,lazer,3,lazer,3,lazer,3,lazer,3
maior,3,maior,3,maior,3,maior,3,maior,3,maior,3,maior,3,maior,3,maior,3,maior,3
ubs,3,ubs,3,ubs,3,ubs,3,ubs,3,ubs,3,ubs,3,ubs,3,ubs,3,ubs,3
valorização,3,valorização,3,valorização,3,valorização,3,valorização,3,valorização,3,valorização,3,valorização,3,valorização,3,valorização,3
precarização,3,precarização,3,precarização,3,precarização,3,precarização,3,precarização,3,precarização,3,precarização,3,precarização,3,precarização,3
creches,3,creches,3,creches,3,creches,3,creches,3,creches,3,creches,3,creches,3,creches,3,creches,3
